product_category_name,customer_state,total_orders,avg_cost_to_serve,avg_cost_pct,problem_rate
informatica_acessorios,RO,23,35.50913043478261,0.6515414392588155,0.21739130434782608
beleza_saude,AC,7,38.34571428571429,0.6512570758885837,0.0
construcao_ferramentas_seguranca,PB,8,28.2425,0.647840198181236,0.0
telefonia,GO,122,16.762377049180326,0.6446644373937266,0.05737704918032787
fashion_bolsas_e_acessorios,RN,7,35.99142857142857,0.643349470595178,0.14285714285714285
telefonia_fixa,AP,6,24.84,0.6431219808589613,0.0
pet_shop,PE,23,37.503043478260864,0.6426238483805191,0.13043478260869565
cama_mesa_banho,RN,30,37.602666666666664,0.6425527250137927,0.03333333333333333
artes,DF,6,19.813333333333333,0.6411580714034036,0.0
telefonia,RS,292,17.462859589041095,0.6343548898565715,0.0410958904109589
telefonia_fixa,PR,6,15.225,0.633231779487338,0.0
automotivo,SE,21,39.99047619047619,0.6330146444879549,0.19047619047619047
ferramentas_jardim,PB,14,48.020714285714284,0.6300312284114479,0.2857142857142857
malas_acessorios,MA,9,63.7988888888889,0.6259100013121272,0.2222222222222222
flores,RJ,8,16.896250000000002,0.6253763950474476,0.125
telefonia,AL,28,27.134285714285713,0.6238989346760644,0.25
moveis_escritorio,MA,23,88.94739130434782,0.6225356531202669,0.30434782608695654
sinalizacao_e_seguranca,SC,10,16.78,0.6213625610559382,0.1
bebes,PB,13,43.682307692307695,0.6209874876181811,0.3076923076923077
automotivo,PA,51,39.54254901960785,0.6182790335277777,0.17647058823529413
bebidas,ES,5,28.744,0.6145427731890774,0.0
ferramentas_jardim,SE,29,38.83137931034482,0.6097151426834221,0.27586206896551724
telefonia,SE,28,23.780357142857145,0.6080155852958973,0.17857142857142858
livros_interesse_geral,DF,18,19.176666666666666,0.606748621814091,0.0
construcao_ferramentas_jardim,GO,5,27.898000000000003,0.6035009581888267,0.0
telefonia,PR,248,15.878185483870968,0.6031298179898112,0.04032258064516129
utilidades_domesticas,AL,10,33.775,0.6025480549430646,0.1
moveis_cozinha_area_de_servico_jantar_e_jardim,SC,7,40.26428571428572,0.601520965217977,0.14285714285714285
telefonia,SC,175,16.735942857142856,0.5987597612421585,0.11428571428571428
livros_interesse_geral,BA,15,22.608,0.5964846712931972,0.26666666666666666
cama_mesa_banho,PB,32,38.9625,0.5952720778227159,0.03125
brinquedos,PA,29,29.376896551724137,0.5952560245315631,0.10344827586206896
telefonia_fixa,RS,19,16.430526315789475,0.5941670774761048,0.0
alimentos_bebidas,RJ,52,18.666346153846153,0.5927649039792634,0.17307692307692307
papelaria,MA,20,30.317,0.5922783700133619,0.1
eletrodomesticos_2,BA,6,93.67166666666667,0.5875396306418035,0.3333333333333333
alimentos,BA,17,20.761176470588236,0.585999725733901,0.11764705882352941
informatica_acessorios,RN,32,32.685625,0.585707620441915,0.0625
cama_mesa_banho,AL,20,40.4405,0.5847381710135551,0.15
construcao_ferramentas_jardim,ES,5,20.351999999999997,0.5830218026003262,0.0
informatica_acessorios,TO,21,35.96714285714286,0.5823713446462285,0.14285714285714285
ferramentas_jardim,RN,19,37.07736842105263,0.5792616706892764,0.10526315789473684
ferramentas_jardim,TO,13,34.004615384615384,0.5762873241830049,0.15384615384615385
telefonia,BA,249,18.16698795180723,0.5746660328772496,0.14859437751004015
perfumaria,RN,21,36.29190476190476,0.574608554416424,0.19047619047619047
automotivo,RN,19,39.97842105263158,0.5710711077522582,0.15789473684210525
fashion_bolsas_e_acessorios,PE,36,25.793055555555554,0.5707345335513936,0.05555555555555555
musica,PR,7,14.744285714285715,0.5692385360274,0.0
consoles_games,PI,9,40.83555555555555,0.5674136419411533,0.0
moveis_escritorio,PB,10,59.553999999999995,0.5669808332469843,0.0
musica,MG,6,17.213333333333335,0.5653748816224372,0.0
consoles_games,PB,7,31.74285714285714,0.5645099585585711,0.0
moveis_decoracao,AL,34,44.02970588235294,0.5615311579438141,0.14705882352941177
fashion_bolsas_e_acessorios,PA,31,25.81,0.5611116082295672,0.16129032258064516
fashion_bolsas_e_acessorios,PB,15,39.32866666666667,0.5600648190353638,0.13333333333333333
automotivo,MA,39,44.27051282051282,0.5582402808917075,0.15384615384615385
moveis_decoracao,RN,29,38.77068965517242,0.5575651011346987,0.1724137931034483
construcao_ferramentas_seguranca,BA,7,23.085714285714285,0.5571318658618061,0.0
telefonia,MS,28,16.67107142857143,0.5554452912478351,0.10714285714285714
instrumentos_musicais,DF,9,49.45222222222222,0.5544087393958606,0.0
moveis_decoracao,PB,42,43.33119047619048,0.5537389958015728,0.16666666666666666
construcao_ferramentas_ferramentas,RS,8,26.13625,0.5525816168696435,0.125
alimentos_bebidas,PR,16,17.635625,0.5523921026278862,0.0625
alimentos,PE,8,19.23875,0.552007796604299,0.125
informatica_acessorios,MT,55,30.049818181818182,0.5512297114911422,0.03636363636363636
utilidades_domesticas,PB,23,35.97086956521739,0.5500056018076814,0.17391304347826086
sinalizacao_e_seguranca,SP,95,18.239052631578947,0.5496101110658071,0.042105263157894736
informatica_acessorios,PB,54,30.58666666666667,0.5485422667500822,0.12962962962962962
livros_interesse_geral,CE,7,59.67,0.5474553708838595,0.14285714285714285
construcao_ferramentas_construcao,RN,8,39.9,0.5464872715582288,0.125
moveis_decoracao,MA,48,36.64958333333333,0.5448653404343163,0.1875
moveis_decoracao,RR,6,36.295,0.5438495473915933,0.0
bebes,RO,11,41.83,0.5393650903877719,0.0
perfumaria,MT,30,20.084999999999997,0.5392533252293367,0.23333333333333334
papelaria,PE,48,33.097500000000004,0.5390171470858985,0.041666666666666664
artigos_de_natal,SP,50,13.020999999999999,0.5385797709526252,0.02
fashion_bolsas_e_acessorios,MA,25,27.9056,0.5383208227051596,0.04
bebes,RN,15,30.171333333333333,0.5329387366834187,0.13333333333333333
eletroportateis,MS,6,17.886666666666667,0.5322943686511978,0.0
informatica_acessorios,AM,17,37.4435294117647,0.5316098286431757,0.0
construcao_ferramentas_jardim,SC,5,16.808,0.5312653679353793,0.0
utilidades_domesticas,RO,5,37.598,0.5268982824180853,0.2
fashion_bolsas_e_acessorios,PI,5,25.965999999999998,0.5254341053142267,0.2
construcao_ferramentas_construcao,BA,36,34.56527777777777,0.5225748409860338,0.027777777777777776
esporte_lazer,SE,35,35.81685714285714,0.52256636815354,0.05714285714285714
telefonia,MG,482,16.307842323651453,0.52163808017488,0.05186721991701245
papelaria,PI,11,43.00818181818182,0.5213381490797856,0.09090909090909091
ferramentas_jardim,PA,37,47.733513513513515,0.5208550111115944,0.21621621621621623
utilidades_domesticas,CE,59,38.79177966101695,0.5194047930929427,0.0847457627118644
casa_construcao,DF,7,23.02857142857143,0.5181955942347432,0.0
pet_shop,PB,8,31.8925,0.513807655193579,0.125
pet_shop,MA,10,37.534,0.5135711196338129,0.1
telefonia,DF,82,16.25658536585366,0.5132692931522941,0.06097560975609756
alimentos,PR,29,18.644137931034482,0.5111747010720601,0.10344827586206896
audio,CE,5,35.564,0.5111330160051369,0.0
informatica_acessorios,MA,73,33.85972602739726,0.5090104048565777,0.1232876712328767
eletrodomesticos,MS,6,16.906666666666666,0.5081595248028289,0.0
audio,BA,14,18.92142857142857,0.5073030814278688,0.2857142857142857
pet_shop,PI,7,44.26714285714286,0.5072010595200939,0.0
instrumentos_musicais,GO,9,25.488888888888887,0.5046719274968652,0.0
moveis_decoracao,RO,13,47.23230769230769,0.5035111871474043,0.0
consoles_games,CE,16,38.7075,0.5029068907720948,0.125
papelaria,CE,37,31.356216216216218,0.5016027249814179,0.10810810810810811
papelaria,AL,8,28.02875,0.5011389589121602,0.125
casa_conforto,BA,11,27.902727272727272,0.4993052995812058,0.18181818181818182
consoles_games,RS,61,19.361639344262294,0.4958176933584757,0.09836065573770492
telefonia,ES,115,16.17886956521739,0.4957891420041827,0.12173913043478261
eletrodomesticos,BA,39,20.792820512820512,0.49380697356269154,0.02564102564102564
market_place,MA,9,28.083333333333332,0.4936019652396989,0.0
eletronicos,SP,982,11.59337067209776,0.493032046466812,0.03665987780040733
automotivo,AL,22,35.874545454545455,0.49283308983396784,0.18181818181818182
cama_mesa_banho,RO,14,43.36642857142857,0.49245939617251905,0.0
